dataflow,measure,region_type,region,frequency,year,obs_value,unit_measure,unit_mult,obs_status,obs_comment,state_name_full,state
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_35: Estimated resident population:Males aged 70-74 years (%),STE: States and Territories,8: Australian Capital Territory,A: Annual,2023,3.3,PCT: Percent,,,,Australian Capital Territory,ACT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_3: Estimated resident population:Males aged 5-9 years (no.),STE: States and Territories,2: Victoria,A: Annual,2019,209261.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_3: Estimated resident population:Males aged 5-9 years (no.),STE: States and Territories,2: Victoria,A: Annual,2020,210533.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_3: Estimated resident population:Males aged 5-9 years (no.),STE: States and Territories,2: Victoria,A: Annual,2021,209607.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_3: Estimated resident population:Males aged 5-9 years (no.),STE: States and Territories,2: Victoria,A: Annual,2022,209486.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_M_3: Estimated resident population:Males aged 5-9 years (no.),STE: States and Territories,2: Victoria,A: Annual,2023,210190.0,PSNS: Persons,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_12: Estimated resident population:Persons aged 50-54 years (no.),STE: States and Territories,1: New South Wales,A: Annual,2019,478764.0,PSNS: Persons,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_12: Estimated resident population:Persons aged 50-54 years (no.),STE: States and Territories,1: New South Wales,A: Annual,2020,484123.0,PSNS: Persons,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_12: Estimated resident population:Persons aged 50-54 years (no.),STE: States and Territories,1: New South Wales,A: Annual,2021,496522.0,PSNS: Persons,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_12: Estimated resident population:Persons aged 50-54 years (no.),STE: States and Territories,1: New South Wales,A: Annual,2022,508650.0,PSNS: Persons,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_P_12: Estimated resident population:Persons aged 50-54 years (no.),STE: States and Territories,1: New South Wales,A: Annual,2023,517387.0,PSNS: Persons,,,,New South Wales,NSW
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_4: Estimated resident population:Females aged 10-14 years (no.),STE: States and Territories,7: Northern Territory,A: Annual,2019,8146.0,PSNS: Persons,,,,Northern Territory,NT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_4: Estimated resident population:Females aged 10-14 years (no.),STE: States and Territories,7: Northern Territory,A: Annual,2020,8250.0,PSNS: Persons,,,,Northern Territory,NT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_4: Estimated resident population:Females aged 10-14 years (no.),STE: States and Territories,7: Northern Territory,A: Annual,2021,8193.0,PSNS: Persons,,,,Northern Territory,NT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_4: Estimated resident population:Females aged 10-14 years (no.),STE: States and Territories,7: Northern Territory,A: Annual,2022,8331.0,PSNS: Persons,,,,Northern Territory,NT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_4: Estimated resident population:Females aged 10-14 years (no.),STE: States and Territories,7: Northern Territory,A: Annual,2023,8454.0,PSNS: Persons,,,,Northern Territory,NT
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_26: Estimated resident population:Females aged 25-29 years (%),STE: States and Territories,2: Victoria,A: Annual,2019,7.8,PCT: Percent,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_26: Estimated resident population:Females aged 25-29 years (%),STE: States and Territories,2: Victoria,A: Annual,2020,7.7,PCT: Percent,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_26: Estimated resident population:Females aged 25-29 years (%),STE: States and Territories,2: Victoria,A: Annual,2021,7.3,PCT: Percent,,,,Victoria,VIC
ABS:ABS_REGIONAL_ASGS2021(1.4.0),ERP_F_26: Estimated resident population:Females aged 25-29 years (%),STE: States and Territories,2: Victoria,A: Annual,2022,7.2,PCT: Percent,,,,Victoria,VIC
